open;high;low;close;volume;marketCap;timestamp
3.35820473;3.6452424;3.31802363;3.59528234;33947028.83103063;88084417.44732708;"2020-11-06T00:00:00.000Z"
3.59528234;3.90710635;3.38267645;3.40340829;34653202.95269964;83383503.098373;"2020-11-07T00:00:00.000Z"
3.47659784;3.53932119;3.26588732;3.41712498;25509378.217338;83719561.98799875;"2020-11-09T00:00:00.000Z"
3.41712498;3.64052021;3.36972837;3.58614225;24316550.9597402;87860485.04471572;"2020-11-10T00:00:00.000Z"
3.48435579;3.56057677;3.31976855;3.42914335;25090676.94677403;84014012.1584448;"2020-11-12T00:00:00.000Z"
3.42914335;3.69781664;3.39180691;3.69780082;27584233.25206143;90596119.99321839;"2020-11-13T00:00:00.000Z"
3.50048529;3.64245248;3.42289759;3.53658018;22702610.25482274;86646214.49902835;"2020-11-15T00:00:00.000Z"
3.53658018;3.81652425;3.4591204;3.71665631;27372173.7194702;91058079.65717904;"2020-11-16T00:00:00.000Z"
3.78871435;3.91511214;3.6982418;3.83176823;23031676.65213234;93878321.69354814;"2020-11-17T00:00:00.000Z"
3.74868105;3.81644162;3.57069686;3.62700441;21489339.31444203;88861608.15827796;"2020-11-19T00:00:00.000Z"
3.62700441;3.98702449;3.62453476;3.71060488;27416995.07742133;90909819.47673406;"2020-11-20T00:00:00.000Z"
4.0018561;4.0580503;3.7167929;3.88996878;25963010.05600036;95304235.02696902;"2020-11-22T00:00:00.000Z"
3.88996878;4.25451766;3.84812282;4.06842842;9013817.36361246;99676496.325097;"2020-11-23T00:00:00.000Z"
4.26771288;4.40034345;3.93389239;4.049503;28505942.36083275;99212823.5803404;"2020-11-25T00:00:00.000Z"
4.04999217;4.08481046;3.30287778;3.52771037;35408249.26670343;86428904.1744714;"2020-11-26T00:00:00.000Z"
3.52670747;3.76390286;3.42587916;3.59215223;6023810.06317835;88007729.57946928;"2020-11-27T00:00:00.000Z"
3.62460762;3.76720498;3.532624;3.70431158;3901221.42107206;90755633.80750412;"2020-11-29T00:00:00.000Z"
3.70434574;3.81383896;3.64564719;3.68642396;21457283.88862288;90317387.10006233;"2020-11-30T00:00:00.000Z"
3.57934731;3.84222013;3.52901898;3.7314181;5085526.3828155;91419743.48656134;"2020-12-02T00:00:00.000Z"
3.73613857;3.89494867;3.71764626;3.82192168;21038214.98658707;93637081.26490557;"2020-12-03T00:00:00.000Z"
