open;high;low;close;volume;marketCap;timestamp
0.6921579838;0.7261340022;0.6921579838;0.7247459888;2017060;0;"2017-10-24T00:00:00.000Z"
0.8164460063;0.87123698;0.7789630294;0.8141670227;1784580;0;"2017-10-26T00:00:00.000Z"
0.9478449821;0.9940320253;0.8713719845;0.9195349813;1853410;0;"2017-10-29T00:00:00.000Z"
0.7976499796;0.802883029;0.6347860098;0.6483780146;1792300;0;"2017-11-01T00:00:00.000Z"
0.6978470087;0.7808750272;0.6963139772;0.745875001;745641;0;"2017-11-04T00:00:00.000Z"
0.7028290033;0.7154160142;0.6500300169;0.6607409716;832052;60155893.0794;"2017-11-06T00:00:00.000Z"
0.7426689863;0.7591069937;0.6782029867;0.708344996;783159;64489907.6693;"2017-11-09T00:00:00.000Z"
0.6171960235;0.6171960235;0.5345929861;0.5552589893;577273;50552487.3367;"2017-11-12T00:00:00.000Z"
0.5458520055;0.5684520006;0.5057150126;0.5558339953;902104;50604837.1054;"2017-11-15T00:00:00.000Z"
0.6296210289;0.6739850044;0.5859889984;0.6546189785;516701;59598527.3681;"2017-11-18T00:00:00.000Z"
0.6237819791;0.6952310205;0.6101440191;0.6582540274;728223;59929468.9494;"2017-11-20T00:00:00.000Z"
0.5850809813;0.6113029718;0.5479210019;0.5596979856;940973;50956627.5511;"2017-11-23T00:00:00.000Z"
0.5564730167;0.5773249865;0.5532500148;0.5598829985;1271950;50973470.5202;"2017-11-26T00:00:00.000Z"
0.4818280041;0.5610539913;0.4470500052;0.4488910139;1227570;40868417.4288;"2017-11-29T00:00:00.000Z"
0.4574089944;0.4950779974;0.4415929914;0.4950779974;832423;45073423.98;"2017-12-01T00:00:00.000Z"
0.4285250008;0.4959909916;0.3956280053;0.4879310131;894783;44422739.1158;"2017-12-04T00:00:00.000Z"
0.5408629775;0.5789570212;0.4588780105;0.4758749902;814877;43325123.7915;"2017-12-07T00:00:00.000Z"
0.5205529928;0.5205529928;0.4114429951;0.4383960068;602494;39912920.3461;"2017-12-10T00:00:00.000Z"
0.4842759967;0.5127980113;0.4697059989;0.4956560135;707547;45126046.8779;"2017-12-13T00:00:00.000Z"
0.5566300154;0.5982319713;0.4976370037;0.5609250069;687624;51068337.4053;"2017-12-15T00:00:00.000Z"
0.7521550059;0.8184170127;0.6706010103;0.8165730238;1083380;74343317.6986;"2017-12-18T00:00:00.000Z"
0.8670650125;1.0882300138;0.8321020007;0.96064502;1764630;87460075.7441;"2017-12-21T00:00:00.000Z"
0.8651639819;0.9419469833;0.7969020009;0.9419469833;1154570;85757752.309;"2017-12-24T00:00:00.000Z"
1.3322999477;1.6350300312;1.1366900206;1.6011099815;2495090;145769979.414;"2017-12-26T00:00:00.000Z"
2.7924199104;3.7002499104;2.6112799644;3.1834599972;8587690;289831990.723;"2017-12-29T00:00:00.000Z"
3.5686099529;3.7458600998;3.2331700325;3.7109200954;4063470;337853571.59;"2018-01-01T00:00:00.000Z"
7.9275798798;7.9427399635;5.5407299995;6.4907097816;12984200;590934203.824;"2018-01-04T00:00:00.000Z"
